question_id,member_id,question,type,ambiguous
9886,61696,完全聽不出來throughout?聽起來像through the well ?,13,0
22446,78150,"請問在此句的""into""是不是略過不發音呢?",13,0
31774,88024,為什麼someone(第三人稱)後面是用were而不是was??,11,0
80000,90762,這句子裡的where 是什麼作用?,5,0
22243,80028,And the first one  kind of  blows people out of the water. 請問這段話我聽發音KID OF的OF好像不見了?但後面PEOPLE OUT OF得OF又有聽出來..外國人在念KID OF BLOWS是自動把OF去掉不念嗎??,13,0
31991,56291,這句 is being placed on top of the card that you just showed和這句.is now secretly in the middle的主詞都是that coin嗎?,10,0
31990,56291,placing為啥要ing    為何不是place,12,0
31899,56291, underneath 在這是什麼詞性,9,0
31576,56291,just 在這的用法要怎麼說?  would在這句要怎麼翻  ,13,0
31322,56291,like that為啥要有that,10,0
31321,56291,you've always wanted to為甚麼這樣用完成式,1,0
30383,56291,這裡的 letting 加ing是因為also的關係嗎?  You wanna be getting to know a person 是未來進行式吧?,2,0
29990,56291,If someone were to ask me how I am today 為啥要用were,11,0
28854,56291,you'll be speaking 為甚麼speak要加ing 還有這句要如何解釋,2,0
66346,99201,be too far removed from的解釋是和某物非常不同 中文翻譯為何是相去不遠,13,0
42776,84239,想請問一下  you've mastered  這個HAVE跟 -ED 要怎麼發音啊? 聽不太清楚到底有沒有發出HAVE跟ED的聲音...感覺過去式或是+s的聲音都聽不太清楚....謝謝!,13,0
39589,82143,第一句we were 是過去式   Vivienne  is 是現在式  And she said時又變回過去式 請問這是甚麼文法結構呢？,3,0
27904,82143,請問could  would 的用法  用在什麼情境,3,0
25651,82143,請問這句發音第二個字是否多了IN? ,13,0
6544,51414,不太懂 all of which now 在這當主詞之文法?? 是片語?  which 在這之用法? ,5,0
6203,51414,"I wasn't exactly  close to her, but with some superficial facts and a few interactions  over a semester, you know (like most guys, fantasizing over a girl they barely know), I  filled in the blanks like a fairytale author.  其中 a few interactions over a semester 中之over如何判斷應翻譯為在1學期期間而不是超過一學期",13,0
6201,51414,fantasize over  中over用法?  不懂使用over在這有何意義?,9,0
5896,51414,I even have a book about a  kitty cat who thinks the moon is a bowl of milk. Ahh!  為何關係代名詞為who不是which 或that  a  kitty cat  為動物不是應該用which 嗎?,5,0
40716,93038, I don't suggest you get loans or venture capital.  一句怎有兩個動詞suggest and get,10,0
35156,90126,"這裡的BOb is 聽起來好像是Bob's , 不是 bob is?",13,0
33673,90126,They've been 發音聽不太懂 好像只有一個音節?,13,0
33649,90126,"judged 字尾加d該怎念,影片中似乎聽不到,是念t還是d?",13,0
23656,78952,"請問My day started out walking ~walking為什麼是現在進行式?另外可否不用start out片語,用My day start to walk with my dog來表示是正確的嗎?",2,0
23064,78952,we're going to be making friends 請問be是為什麼,2,0
22815,78952,"請問這less chucking, more recycling裡的動詞為什麼要用進行式",2,0
22491,78952,為什麼要用進行式strarting不用start就好,2,0
22487,78952,That can be recycled，這是被動式句型對嗎?那be在這的用法是什麼,8,0
20874,78952,在so far的句子中，是否有歸定要用什麼型態的句型？,1,0
29256,87591,"  為什麼不是寫 as well as the beats and the rhythms 而是寫as well as the beats, the rhythms  這裡的逗點用意是甚麼呢? 謝謝",10,0
29254,87591,"請問 as well as 就是跟and 一樣嗎? 類似中文上的 ""與""  "" 和""的差異 如果我寫 I love hiking and swimming as well as jogging. 這種寫法可以嗎?  避開寫 l love hiking, swimming and jogging 這類簡單句型  如果就作文而言 and 跟 as well as的混搭是不是會比較有文采一點的感覺?    ",6,0
29169,87591,you are always judged by the way you perform 這句話是說  別人總是看我的表現來評斷我嗎? 因為 我看課程翻譯的中文  雖然是中文 但是很奇怪的中文    ,13,0
22934,69388,protecting the hedgehog not just from predators but from falls這句為何可以寫成這樣？ ,12,0
