question_id,member_id,question,type,ambiguous
9886,61696,完全聽不出來throughout?聽起來像through the well ?可能是不大習慣小女孩說話的腔調，可以再搭配字幕多聽聽看幾次喔！習慣了之後就比較容易聽出來了。,13,0
22446,78150,"請問在此句的""into""是不是略過不發音呢?是有的喔，只是比較輕、語速也比較快。可能需要搭配字幕多聽幾次看看。練口說時也不能忽略，要清楚地唸出來喔！可以參考咬字比較清楚的老師朗讀。",13,0
31774,88024,為什麼someone(第三人稱)後面是用were而不是was??您好！因為這裡是假設語氣用法，不管主詞是誰，都是搭配 were 喔。,11,0
80000,90762,這句子裡的where 是什麼作用?是關係代名詞，引領關係子句，補充說明前面的 childhood。另外也可以參考以下我們整理的教學專欄喔： https://www.hopenglish.com/understanding-relative-pronouns-2 ,5,0
22243,80028,And the first one  kind of  blows people out of the water. 請問這段話我聽發音KID OF的OF好像不見了?但後面PEOPLE OUT OF得OF又有聽出來..外國人在念KID OF BLOWS是自動把OF去掉不念嗎??英文是一種「重實輕虛」的語言，像是形容詞、介係詞、連接詞之類不影響句義的字，通常都不大會著重在其發音，會很迅速、或是和其他音連在一起這樣帶過。  在課程中，如果聽不出來，可能就需要搭配字幕、調高音量再多聽聽幾次。碰到的時候就多留意，慢慢累積到一定程度之後，自然就比較能分辨囉！請問要去哪裡看我上課所做的筆記?您好！您目前還在進行系統免費贈送的暖身課程。當您完成暖身課程後會進入正式課程，查過的單字會出現在「學習成果」，學完的課程也會出現在「學習記錄」中，讓您可以複習，那邊也可以找到您的筆記和發問的問題喔！,13,0
31991,56291,"這句 is being placed on top of the card that you just showed和這句.is now secretly in the middle的主詞都是that coin嗎?是的，這邊您的理解沒錯喔！那為甚麼第2句的主詞可以不用寫出來,是口語上念起來比較順暢嗎?that coin is being placed on top of the card that you just showed...is now secretly in the middle.  這裡就是因為是比較口語的隨性用法，也因此我們用「...」這個符號呈現，口語上時常是想到什麼就講什麼，所以有時候句子比較零碎不完整，這裡如果是正式寫作的話，可能要加上連接詞比較完整：  ...that coin is being placed on top of the card that you just showed, and is now secretly in the middle.",10,0
31990,56291,placing為啥要ing    為何不是place這裡跟前面共用一組主詞和動詞 you're，所以後面的 place 要改寫為現在分詞形式 placing 喔。,12,0
31899,56291, underneath 在這是什麼詞性您好！underneath 在這裡是介係詞喔，可以參考字典上的第一條解釋： https://tw.dictionary.yahoo.com/dictionary?p=underneath,9,0
31576,56291,just 在這的用法要怎麼說?  would在這句要怎麼翻  1. just 在這裡就是口語上「就這樣、就」的意思，像這裡 just chuck all this stuff 就是「就這樣丟掉所有這東西」的意思。那其實省略也不影響句意喔！  2. would 可以參考字典上的第四條解釋喔： https://tw.dictionary.yahoo.com/dictionary?p=would,13,0
31322,56291,like that為啥要有that這裡的 that 是當做連接詞，因為 like 後面要承接有主詞、有動詞的完整句子，因此要加上 that 才能連接喔。可以參考 that 在字典上作為連接詞的第一條解釋： https://tw.dictionary.yahoo.com/dictionary?p=that,10,0
31321,56291,you've always wanted to為甚麼這樣用完成式這裡用完成式是表示你「一直以來」都很想要的口吻，當然用現在式也可以，只是口氣上有些微差別。,1,0
30383,56291,這裡的 letting 加ing是因為also的關係嗎?  You wanna be getting to know a person 是未來進行式吧?並不是因為 also 的關係喔，是因為接續了前面的 wanna be，完整一點應該是： ...and you also wanna be letting that person get to know you.  因為和前面共用一個 wanna be，所以後面省略。  這裡因為沒有 will，所以不算是未來進行式，但現在進行式本身也有未來的意涵喔。,2,0
29990,56291,If someone were to ask me how I am today 為啥要用were這裡是假設語氣的用法，因此不論主詞為何，所搭配的 be 動詞都是 were。If someone were to do something 就是「如果某人要做某事」的意思。,11,0
28854,56291,you'll be speaking 為甚麼speak要加ing 還有這句要如何解釋這裡是「未來進行式」的用法，表示某一動作將會、或可能在未來某一時刻進行或持續進行中。  you'll be speaking 就是「你未來、以後都會這樣說」的意思。  這裡用 you'll speak 當然也沒有問題，只是語意上有些許差別而已。,2,0
66346,99201,be too far removed from的解釋是和某物非常不同 中文翻譯為何是相去不遠因為前面有 not 喔，是 not be too far removed from，和某物沒有非常不同的話，就是相去不遠。,13,0
42776,84239,想請問一下  you've mastered  這個HAVE跟 -ED 要怎麼發音啊? 聽不太清楚到底有沒有發出HAVE跟ED的聲音...感覺過去式或是+s的聲音都聽不太清楚....謝謝!您好！  you've 的發音可以先參考以下影片連結： https://www.youtube.com/watch?v=_EtLX6sC4CQ  那 mastered 則可以參考以下影片連結： https://www.youtube.com/watch?v=5K7FRiaIEc4  多聽多練習，自然就能念順囉！,13,0
39589,82143,第一句we were 是過去式   Vivienne  is 是現在式  And she said時又變回過去式 請問這是甚麼文法結構呢？您好！這就是英文口語上很常碰到的小問題喔，因為口語上時常是想到什麼就說什麼，因此很常有這種時態不一致的狀況，像是這裡因為都是回憶先前發生的事，因此最正確的說法應該要全部都用過去式喔！,3,0
27904,82143,請問could  would 的用法  用在什麼情境could 和 would 雖然分別是 can 和 will 的過去式，但在口語上時常用在現在式，甚至可以作為比較有禮貌的口吻，例如：  Can you help me open this can? 你可以幫我打開這罐頭嗎？  如果講成： Could you help me open this can? 口氣就比 can 還有禮貌一點喔！謝謝老師的解答! 在這個單元中有時候是用could  有時候是用would，請問啥時用would?  啥時用could?怎麼區分? could 是「可以、可能」的意思，would 則是「會、要」的意思，可以依照所要表達的意思做選擇喔！,3,0
25651,82143,請問這句發音第二個字是否多了IN? 沒錯，講者確實是有講 in，但這裡正確的介係詞應該是她後面所講的 on，前面的 in 是她口誤說錯，後面即時改了過來，因此字幕選擇呈現正確的用法。,13,0
6544,51414,不太懂 all of which now 在這當主詞之文法?? 是片語?  which 在這之用法? 這裡的 which 是關係代名詞，代指前面提過的東西，all of 就是修飾那個 which，也就是指那些全部前面提過的東西。這裡就算沒有 all of 也可以喔！ ,5,0
6203,51414,"I wasn't exactly  close to her, but with some superficial facts and a few interactions  over a semester, you know (like most guys, fantasizing over a girl they barely know), I  filled in the blanks like a fairytale author.  其中 a few interactions over a semester 中之over如何判斷應翻譯為在1學期期間而不是超過一學期因為 semester 是一個時間，通常時間需要有介係詞承接，來組成時間副詞的概念，此處因為只有 over 一個介係詞，因此可以知道這個介係詞就是要和 semester 組成時間副詞概念的詞，如果今天是 in over a semester，就可以看出這裡搭配 semester 的介係詞是 in，over 是形容詞修飾 semester，這時就可以判斷出是「超過」的意思。",13,0
6201,51414,fantasize over  中over用法?  不懂使用over在這有何意義?這裡的 over 是配合 fantasize 的介係詞。fantasize 是不及物動詞，也就是後面需要加上介係詞才能承接受詞，不能直接加上受詞。fantasize 後的介係詞可以使用 over 或是 about。  fantasize over/about 要一起理解成「幻想」 ,9,0
5896,51414,I even have a book about a  kitty cat who thinks the moon is a bowl of milk. Ahh!  為何關係代名詞為who不是which 或that  a  kitty cat  為動物不是應該用which 嗎?這裡是將 kitty cat 擬人化，把他當做一個人物，所以才會用 who 作為關係代名詞喔！寵物在許多人心中都是跟家人一樣的，所以很常見用 who 來代指動物的例子。,5,0
40716,93038, I don't suggest you get loans or venture capital.  一句怎有兩個動詞suggest and get您好！這裡省略了連接詞 that，原本是： I don't suggest that you get loans or venture capital.   所以這裡有兩個動詞是沒問題的喔！,10,0
35156,90126,"這裡的BOb is 聽起來好像是Bob's , 不是 bob is?這裡是有 is 的喔，再仔細聽看看這裡唸起來像是「芭比死」，是有念出 is  的喔！那就是念成連音囉算是比較清楚的連音喔。",13,0
33673,90126,"They've been 發音聽不太懂 好像只有一個音節?因為 ""ve"" 本身就比較難發出很明顯的聲音，再加上口語上速度通常偏快，經常會簡單帶過，這裡提供 they've 發音比較清楚的字典連結： http://dictionary.cambridge.org/pronunciation/british/they-ve  （紅色小喇叭為英式英文；藍色小喇叭為美式英文）  多聽多模仿，自然就能念順囉！",13,0
33649,90126,"judged 字尾加d該怎念,影片中似乎聽不到,是念t還是d?這裡是念 [d] 的音喔！",13,0
23656,78952,"請問My day started out walking ~walking為什麼是現在進行式?另外可否不用start out片語,用My day start to walk with my dog來表示是正確的嗎?這裡是口語上比較簡略的說法，正式書寫應該要加上 with 比較正確，寫作：  My day started out with walking my dog... 表示『用』溜狗開始我的一天。  另外並不能用 My day start to walk with my dog 這樣就變成「我的一天開始去溜狗」，但溜狗的並不是你的一天，而是你本人。  可以試著用 start with（以...開始），像這句就可以寫作： My day started with walking my dog in Central Park...My day started with walking my dog in Central Park... 在這裡，walk會用ing是因為文法句型問題還是因為前面加with?是的，start with 後面要加上一件事，因此原本的動詞要改寫為名詞才能接在後面。",2,0
23064,78952,we're going to be making friends 請問be是為什麼這裡是 be going to 後面加上現在進行式的運用，強調「正在做這件事」的口氣。當然直接寫作 we're going to making friends 也是完全沒問題的，大致要傳達的意思是一樣的喔。,2,0
22815,78952,"請問這less chucking, more recycling裡的動詞為什麼要用進行式這裡是動名詞的用法，將原本動詞 chuck  和 recycle 改寫成動名詞形式，才能具名詞特性，放在 less 和 more 這兩個形容詞的後面，這樣才合乎文法喔。",2,0
22491,78952,為什麼要用進行式strarting不用start就好這是很口語的用法，在宣布比賽或是活動開始時，常會只說 Starting now!。如果有主詞的話，當然就用一般現在式即可，例如： The party starts now! 派對現在開始。 ,2,0
22487,78952,That can be recycled，這是被動式句型對嗎?那be在這的用法是什麼這裡是被動式句型沒錯。can  是助動詞，後面需要加上原形動詞，而被動式中的動詞就是 be 動詞，所有 be 動詞的原型都是 be。這裡的 be 就是 can 之後的原型動詞 + 被動式中的 be 動詞。,8,0
20874,78952,在so far的句子中，是否有歸定要用什麼型態的句型？沒有特別規定，但通常會搭配「完成式」的時態喔。,1,0
29256,87591,"  為什麼不是寫 as well as the beats and the rhythms 而是寫as well as the beats, the rhythms  這裡的逗點用意是甚麼呢? 謝謝這裡因為是口語上的表達，因此在使用連接詞方面比較沒那麼周全，as well as 應該是要放在最後一項列舉事物之前，如果是正式寫作的話，建議要放在 the rhythms 前面。  這裡加上逗點一方面是為了配合講者的停頓語氣，另外也有頓號的作用，分隔連續列舉的事物。",10,0
29254,87591,"請問 as well as 就是跟and 一樣嗎? 類似中文上的 ""與""  "" 和""的差異 如果我寫 I love hiking and swimming as well as jogging. 這種寫法可以嗎?  避開寫 l love hiking, swimming and jogging 這類簡單句型  如果就作文而言 and 跟 as well as的混搭是不是會比較有文采一點的感覺?    as well as 和 and 兩者意思相似，但用法不太一樣，若是前後要連接的詞為名詞或形容詞，兩者確實可以交替使用，例如：  She is clever and beautiful. She is clever as well as beautiful.  He grows flowers and vegetables . He grows flowers as well as vegetables.  但是如果前後是動作的話，and 前後的動作時態需一致，但 as well as 後面則要改成動名詞形式，例如：  He hurt his arm, and broke his leg. He hurt his arm, as well as breaking his leg.  如果前後是不定詞的話，as well as 後面的 to 可以省略，例如：  I have to clean the floors and cook the food. I have to clean the floors as well as cook the food.  寫作基本上用字能多一點變化是好的，但也要注意一定要使用正確喔。",6,0
